,question,is_evergreen,English,Russian,French,German,Hebrew,Arabic,Chinese
22,What is the current value of the NASDAQ Composite?,0,What is the current value of the NASDAQ Composite?,Каково текущее значение индекса NASDAQ Composite?,Quelle est la valeur actuelle du NASDAQ Composite ?,Wie hoch ist der aktuelle Wert des NASDAQ Composite?,"מהו הערך הנוכחי של מדד הנאסד""ק קומפוזיט?",ما هي القيمة الحالية لمؤشر ناسداك المركب؟,纳斯达克综合指数当前的数值是多少？
23,Who is the current top-selling video game?,0,Who is the current top-selling video game?,Кто является текущим лидером продаж среди видеоигр?,Quel est le jeu vidéo le plus vendu actuellement ?,Welches ist derzeit das meistverkaufte Videospiel?,מהו משחק הווידאו הנמכר ביותר כיום?,ما هي لعبة الفيديو الأكثر مبيعًا حاليًا؟,目前最畅销的视频游戏是哪一款？
24,What is the current U.S. national debt?,0,What is the current U.S. national debt?,Какова текущий государственный долг США?,Quelle est la dette nationale actuelle des États-Unis ?,Wie hoch ist die aktuelle Staatsverschuldung der USA?,מהו החוב הלאומי הנוכחי של ארצות הברית?,ما هو الدين الوطني الحالي للولايات المتحدة؟,美国目前的国债是多少？
25,Who is the current leader in the ATP tennis rankings?,0,Who is the current leader in the ATP tennis rankings?,Кто является текущим лидером в рейтинге ATP по теннису?,Qui est le leader actuel du classement ATP de tennis ?,Wer ist der aktuelle Spitzenreiter in der ATP-Tennisrangliste?,מי המוביל הנוכחי בדירוג הטניס של ה-ATP?,من هو المتصدر الحالي في تصنيف التنس لرابطة محترفي التنس (ATP)؟,目前ATP网球排名的领头是谁？
26,What is the current price of natural gas?,0,What is the current price of natural gas?,Какова текущая цена природного газа?,Quel est le prix actuel du gaz naturel ?,Wie hoch ist der aktuelle Preis für Erdgas?,מהו המחיר הנוכחי של גז טבעי?,ما هو السعر الحالي للغاز الطبيعي؟,目前天然气的价格是多少？
27,Who is the current host of The Tonight Show?,0,Who is the current host of The Tonight Show?,"Кто является текущим ведущим шоу ""Сегодня вечером""?",Qui est l'animateur actuel du Tonight Show ?,Wer ist der aktuelle Moderator der Tonight Show?,מי המנחה הנוכחי של The Tonight Show?,من هو المضيف الحالي لبرنامج The Tonight Show؟,谁是当前的《今夜秀》主持人？
28,What is the current value of the Russell 2000 index?,0,What is the current value of the Russell 2000 index?,Каково текущее значение индекса Russell 2000?,Quelle est la valeur actuelle de l'indice Russell 2000 ?,Wie hoch ist der aktuelle Wert des Russell 2000 Index?,מהו הערך הנוכחי של מדד ראסל 2000?,ما هي القيمة الحالية لمؤشر راسل 2000؟,当前罗素2000指数的数值是多少？
29,Who is the current top-selling book?,0,Who is the current top-selling book?,Кто является автором самой продаваемой книги на данный момент?,Quel est le livre le plus vendu actuellement ?,Welches Buch verkauft sich derzeit am besten?,מהו הספר הנמכר ביותר כרגע?,ما هو الكتاب الأكثر مبيعًا حاليًا؟,目前最畅销的书是哪本？
30,What is the current U.S. federal minimum wage?,0,What is the current U.S. federal minimum wage?,Какова текущая федеральная минимальная заработная плата в США?,Quel est le salaire minimum fédéral actuel aux États-Unis ?,Wie hoch ist der aktuelle bundesweite Mindestlohn in den USA?,מהו שכר המינימום הפדרלי הנוכחי בארצות הברית?,ما هو الحد الأدنى للأجور الفيدرالي الحالي في الولايات المتحدة؟,当前美国联邦最低工资是多少？
31,Who is the current leader in the WTA tennis rankings?,0,Who is the current leader in the WTA tennis rankings?,Кто является текущим лидером в рейтинге WTA по теннису?,Qui est l'actuelle leader du classement WTA de tennis ?,Wer ist die aktuelle Spitzenreiterin im WTA-Tennisranking?,מי המובילה הנוכחית בדירוג טניס ה-WTA?,من هي المتصدرة الحالية في تصنيف التنس لرابطة اللاعبات المحترفات (WTA)؟,目前WTA网球排名的领军人物是谁？
32,What is the current price of wheat per bushel?,0,What is the current price of wheat per bushel?,Какова текущая цена пшеницы за бушель?,Quel est le prix actuel du blé par boisseau ?,Wie hoch ist der aktuelle Preis für Weizen pro Scheffel?,מהו המחיר הנוכחי של חיטה לבושל?,ما هو السعر الحالي للقمح لكل بوشل؟,当前小麦每蒲式耳的价格是多少？
33,Who is the current host of The Late Show?,0,Who is the current host of The Late Show?,"Кто является текущим ведущим шоу ""Позднее шоу""?",Qui est l'actuel animateur de The Late Show ?,Wer ist der aktuelle Moderator von The Late Show?,מיהו המנחה הנוכחי של The Late Show?,من هو المضيف الحالي لبرنامج The Late Show؟,《The Late Show》目前的主持人是谁？
34,What is the current value of the FTSE 100 index?,0,What is the current value of the FTSE 100 index?,Каково текущее значение индекса FTSE 100?,Quelle est la valeur actuelle de l'indice FTSE 100 ?,Wie hoch ist der aktuelle Wert des FTSE 100 Index?,מהו הערך הנוכחי של מדד פוטסי 100?,ما هي القيمة الحالية لمؤشر فوتسي 100؟,富时100指数当前的数值是多少？
35,Who is the current top-selling car model?,0,Who is the current top-selling car model?,Кто является обладателем самой продаваемой модели автомобиля в настоящее время?,Quel est le modèle de voiture le plus vendu actuellement ?,Welches ist das derzeit meistverkaufte Automodell?,מהו דגם הרכב הנמכר ביותר כיום?,ما هو أكثر طراز سيارة مبيعًا حاليًا؟,目前最畅销的汽车型号是哪一款？
36,What is the current U.S. trade deficit?,0,What is the current U.S. trade deficit?,Каков текущий торговый дефицит США?,Quel est le déficit commercial actuel des États-Unis ?,Wie hoch ist das aktuelle Handelsdefizit der USA?,מהו הגירעון המסחרי הנוכחי של ארצות הברית?,ما هو العجز التجاري الحالي للولايات المتحدة؟,美国目前的贸易逆差是多少？
37,Who is the current leader in the PGA Tour rankings?,0,Who is the current leader in the PGA Tour rankings?,Кто является текущим лидером в рейтинге PGA Tour?,Qui est le leader actuel du classement du PGA Tour ?,Wer ist derzeit der Spitzenreiter im PGA-Tour-Ranking?,מי המוביל הנוכחי בדירוג סבב ה-PGA?,من هو المتصدر الحالي في تصنيفات جولة PGA؟,目前PGA巡回赛排名第一的是谁？
38,What is the current price of corn per bushel?,0,What is the current price of corn per bushel?,Какова текущая цена кукурузы за бушель?,Quel est le prix actuel du maïs par boisseau ?,Wie hoch ist der aktuelle Preis für Mais pro Scheffel?,מהו המחיר הנוכחי של תירס לבושל?,ما هو السعر الحالي للذرة لكل بوشل؟,目前玉米每蒲式耳的价格是多少？
39,Who is the current host of Good Morning America?,0,Who is the current host of Good Morning America?,"Кто является текущим ведущим программы ""Доброе утро, Америка""?",Qui est l'actuel présentateur de Good Morning America ?,Wer ist der aktuelle Moderator von Good Morning America?,מי המנחה הנוכחי של Good Morning America?,من هو المضيف الحالي لبرنامج Good Morning America؟,谁是《早安美国》的现任主持人？
40,What is the current value of the Nikkei 225 index?,0,What is the current value of the Nikkei 225 index?,Каково текущее значение индекса Nikkei 225?,Quelle est la valeur actuelle de l'indice Nikkei 225 ?,Wie hoch ist der aktuelle Wert des Nikkei 225-Index?,מהו הערך הנוכחי של מדד ניקיי 225?,ما هي القيمة الحالية لمؤشر نيكاي 225؟,日经225指数当前的数值是多少？
41,Who is the current top-selling smartphone?,0,Who is the current top-selling smartphone?,Кто является текущим бестселлером среди смартфонов?,Quel est le smartphone le plus vendu actuellement ?,Welches ist derzeit das meistverkaufte Smartphone?,מהו הסמארטפון הנמכר ביותר כיום?,ما هو الهاتف الذكي الأكثر مبيعًا حاليًا؟,目前最畅销的智能手机是哪一款？
42,What is the current U.S. GDP growth rate?,0,What is the current U.S. GDP growth rate?,Каков текущий темп роста ВВП США?,Quel est le taux de croissance actuel du PIB des États-Unis ?,Wie hoch ist die aktuelle Wachstumsrate des US-BIP?,"מהו שיעור הצמיחה הנוכחי של התמ""ג של ארה""ב?",ما هو معدل نمو الناتج المحلي الإجمالي الحالي في الولايات المتحدة؟,当前美国的GDP增长率是多少？
43,Who is the current leader in the NHL standings?,0,Who is the current leader in the NHL standings?,Кто является текущим лидером в таблице НХЛ?,Qui est le leader actuel du classement de la LNH ?,Wer ist derzeit Spitzenreiter in der NHL-Tabelle?,מי המוביל הנוכחי בטבלת ה-NHL?,من هو المتصدر الحالي في ترتيب دوري NHL؟,目前NHL积分榜的领头羊是谁？
44,What is the current price of soybeans per bushel?,0,What is the current price of soybeans per bushel?,Какова текущая цена сои за бушель?,Quel est le prix actuel du soja par boisseau ?,Wie hoch ist der aktuelle Preis für Sojabohnen pro Scheffel?,מהו המחיר הנוכחי של סויה לבושל?,ما هو السعر الحالي لفول الصويا لكل بوشل؟,目前大豆每蒲式耳的价格是多少？
45,Who is the current host of The View?,0,Who is the current host of The View?,"Кто является текущим ведущим шоу ""The View""?",Qui est l'animatrice actuelle de The View ?,Wer ist die aktuelle Moderatorin von The View?,מי המנחה הנוכחית של The View?,من هي المقدمة الحالية لبرنامج The View؟,《The View》目前的主持人是谁？
46,What is the current value of the DAX index?,0,What is the current value of the DAX index?,Каково текущее значение индекса DAX?,Quelle est la valeur actuelle de l'indice DAX ?,Wie hoch ist der aktuelle Wert des DAX-Index?,מהו הערך הנוכחי של מדד הדאקס?,ما هي القيمة الحالية لمؤشر داكس؟,DAX指数当前的数值是多少？
47,Who is the current top-selling electric vehicle?,0,Who is the current top-selling electric vehicle?,Кто является текущим лидером по продажам электромобилей?,Quel est actuellement le véhicule électrique le plus vendu ?,Welches ist derzeit das meistverkaufte Elektrofahrzeug?,מהו הרכב החשמלי הנמכר ביותר כיום?,ما هي السيارة الكهربائية الأكثر مبيعًا حاليًا؟,目前最畅销的电动汽车是哪一款？
48,What is the current U.S. consumer confidence index?,0,What is the current U.S. consumer confidence index?,Каков текущий индекс потребительского доверия в США?,Quel est l'indice actuel de confiance des consommateurs aux États-Unis ?,Wie hoch ist der aktuelle US-Verbrauchervertrauensindex?,"מהו מדד אמון הצרכנים הנוכחי בארה""ב?",ما هو مؤشر ثقة المستهلك الحالي في الولايات المتحدة؟,当前美国消费者信心指数是多少？
49,Who is the current leader in the MLB World Series?,0,Who is the current leader in the MLB World Series?,Кто является текущим лидером в Мировой серии МЛБ?,Qui est le leader actuel dans la Série mondiale de la MLB ?,Wer ist derzeit der führende Mannschaft in der MLB World Series?,מי המובילה הנוכחית בוורלד סיריס של ה-MLB?,من هو المتصدر الحالي في سلسلة العالم للـMLB؟,目前谁是MLB世界大赛的领先者？
50,Who is the current President of the United States?,0,Who is the current President of the United States?,Кто является текущим президентом Соединенных Штатов?,Qui est l'actuel président des États-Unis ?,Wer ist der derzeitige Präsident der Vereinigten Staaten?,מי הנשיא הנוכחי של ארצות הברית?,من هو الرئيس الحالي للولايات المتحدة؟,现任美国总统是谁？
51,What is the population of China?,0,What is the population of China?,Каков население Китая?,Quelle est la population de la Chine ?,Wie hoch ist die Bevölkerung Chinas?,מהו מספר האוכלוסייה של סין?,ما هو عدد سكان الصين؟,中国的人口是多少？
52,What is the global life expectancy?,0,What is the global life expectancy?,Какова средняя продолжительность жизни во всём мире?,Quelle est l'espérance de vie mondiale ?,Wie hoch ist die weltweite Lebenserwartung?,מהי תוחלת החיים העולמית?,ما هو متوسط العمر المتوقع عالميًا؟,全球的预期寿命是多少？
53,Who is the CEO of Apple?,0,Who is the CEO of Apple?,Кто является генеральным директором Apple?,Qui est le PDG d'Apple ?,Wer ist der CEO von Apple?,"מי המנכ""ל של אפל?",من هو الرئيس التنفيذي لشركة آبل؟,苹果公司的首席执行官是谁？
54,What is the GDP of India?,0,What is the GDP of India?,Каков ВВП Индии?,Quel est le PIB de l'Inde ?,Wie hoch ist das BIP von Indien?,מהו התוצר המקומי הגולמי של הודו?,ما هو الناتج المحلي الإجمالي للهند؟,印度的国内生产总值是多少？
55,What is the tallest building in the world?,0,What is the tallest building in the world?,Какой самый высокий здание в мире?,Quel est le plus haut bâtiment du monde ?,Was ist das höchste Gebäude der Welt?,מהו הבניין הגבוה ביותר בעולם?,ما هو أطول مبنى في العالم؟,世界上最高的建筑是什么？
56,What is the global literacy rate?,0,What is the global literacy rate?,Каков глобальный уровень грамотности?,Quel est le taux d'alphabétisation mondial ?,Wie hoch ist die weltweite Alphabetisierungsrate?,מהו שיעור האוריינות העולמי?,ما هو معدل معرفة القراءة والكتابة العالمي؟,全球识字率是多少？
57,Who is the Secretary-General of the United Nations?,0,Who is the Secretary-General of the United Nations?,Кто является Генеральным секретарем Организации Объединенных Наций?,Qui est le Secrétaire général des Nations Unies ?,Wer ist der Generalsekretär der Vereinten Nationen?,מיהו מזכ״ל האומות המאוחדות?,من هو الأمين العام للأمم المتحدة؟,联合国秘书长是谁？
58,What is the population of Africa?,0,What is the population of Africa?,Каково население Африки?,Quelle est la population de l'Afrique ?,Wie hoch ist die Bevölkerung Afrikas?,מהו מספר האוכלוסייה של אפריקה?,ما هو عدد سكان أفريقيا؟,非洲的人口是多少？
59,What is the global unemployment rate?,0,What is the global unemployment rate?,Каков глобальный уровень безработицы?,Quel est le taux de chômage mondial ?,Wie hoch ist die weltweite Arbeitslosenquote?,מהו שיעור האבטלה העולמי?,ما هو معدل البطالة العالمي؟,全球失业率是多少？
60,Who is the Prime Minister of Canada?,0,Who is the Prime Minister of Canada?,Кто является премьер-министром Канады?,Qui est le Premier ministre du Canada ?,Wer ist der Premierminister von Kanada?,מיהו ראש ממשלת קנדה?,من هو رئيس وزراء كندا؟,加拿大的总理是谁？
61,What is the global CO2 emission level?,0,What is the global CO2 emission level?,Каков глобальный уровень выбросов CO2?,Quel est le niveau d'émission mondial de CO2 ?,Wie hoch ist der weltweite CO2-Ausstoß?,מהו רמת פליטת ה-CO2 העולמית?,ما هو مستوى انبعاثات ثاني أكسيد الكربون العالمي؟,全球二氧化碳排放水平是多少？
62,What is the population of Europe?,0,What is the population of Europe?,Каково население Европы?,Quelle est la population de l'Europe ?,Wie hoch ist die Bevölkerung Europas?,מהו מספר האוכלוסייה של אירופה?,ما هو عدد سكان أوروبا؟,欧洲的人口是多少？
63,Who is the richest person in the world?,0,Who is the richest person in the world?,Кто является самым богатым человеком в мире?,Qui est la personne la plus riche du monde ?,Wer ist die reichste Person der Welt?,מיהו האדם העשיר ביותר בעולם?,من هو أغنى شخص في العالم؟,世界上最富有的人是谁？
64,What is the global poverty rate?,0,What is the global poverty rate?,Каков глобальный уровень бедности?,Quel est le taux de pauvreté mondial ?,Wie hoch ist die weltweite Armutsrate?,מהו שיעור העוני העולמי?,ما هو معدل الفقر العالمي؟,全球贫困率是多少？
65,What is the population of Japan?,0,What is the population of Japan?,Население Японии?,Quelle est la population du Japon ?,Wie hoch ist die Bevölkerung Japans?,מהו מספר האוכלוסייה של יפן?,ما هو عدد سكان اليابان؟,日本的人口是多少？
66,What is the global internet penetration rate?,0,What is the global internet penetration rate?,Каков глобальный уровень проникновения интернета?,Quel est le taux de pénétration d'Internet dans le monde ?,Wie hoch ist die weltweite Internetdurchdringungsrate?,מהו שיעור החדירה של האינטרנט בעולם?,ما هو معدل انتشار الإنترنت عالميًا؟,全球互联网普及率是多少？
67,Who is the CEO of Microsoft?,0,Who is the CEO of Microsoft?,Кто является генеральным директором Microsoft?,Qui est le PDG de Microsoft ?,Wer ist der CEO von Microsoft?,"מי המנכ""ל של מיקרוסופט?",من هو الرئيس التنفيذي لمايكروسوفت؟,微软的首席执行官是谁？
68,What is the global average temperature?,0,What is the global average temperature?,Какова средняя температура Земли?,Quelle est la température moyenne mondiale ?,Wie hoch ist die globale Durchschnittstemperatur?,מהי הטמפרטורה הממוצעת העולמית?,ما هي درجة الحرارة المتوسطة العالمية؟,全球平均气温是多少？
69,What is the population of Brazil?,0,What is the population of Brazil?,Каково население Бразилии?,Quelle est la population du Brésil ?,Wie hoch ist die Bevölkerung von Brasilien?,מהו מספר האוכלוסייה של ברזיל?,ما هو عدد سكان البرازيل؟,巴西的人口是多少？
70,Who is the King of the United Kingdom?,0,Who is the King of the United Kingdom?,Кто король Соединенного Королевства?,Qui est le roi du Royaume-Uni ?,Wer ist der König des Vereinigten Königreichs?,מיהו מלך הממלכה המאוחדת?,من هو ملك المملكة المتحدة؟,谁是英国的国王？
71,What is the global fertility rate?,0,What is the global fertility rate?,Каков глобальный уровень рождаемости?,Quel est le taux de fécondité mondial ?,Wie hoch ist die weltweite Fertilitätsrate?,מהו שיעור הפריון העולמי?,ما هو معدل الخصوبة العالمي؟,全球生育率是多少？
72,What is the population of Russia?,0,What is the population of Russia?,Население России?,Quelle est la population de la Russie ?,Wie hoch ist die Bevölkerung Russlands?,מהו מספר האוכלוסייה של רוסיה?,ما هو عدد سكان روسيا؟,俄罗斯的人口是多少？
73,Who is the CEO of Amazon?,0,Who is the CEO of Amazon?,Кто является генеральным директором Amazon?,Qui est le PDG d'Amazon ?,Wer ist der CEO von Amazon?,"מי המנכ""ל של אמזון?",من هو الرئيس التنفيذي لشركة أمازون؟,亚马逊的首席执行官是谁？
74,What is the global urban population percentage?,0,What is the global urban population percentage?,Какой процент городского населения в мире?,Quel est le pourcentage de la population urbaine mondiale ?,Wie hoch ist der Anteil der städtischen Bevölkerung weltweit?,מהו אחוז האוכלוסייה העירונית בעולם?,ما هي نسبة السكان الحضريين في العالم؟,全球城市人口比例是多少？
75,What is the population of Mexico?,0,What is the population of Mexico?,Население Мексики?,Quelle est la population du Mexique ?,Wie hoch ist die Bevölkerung von Mexiko?,מהו מספר האוכלוסייה במקסיקו?,ما هو عدد سكان المكسيك؟,墨西哥的人口是多少？
76,Who is the Chancellor of Germany?,0,Who is the Chancellor of Germany?,Кто является канцлером Германии?,Qui est le chancelier de l'Allemagne ?,Wer ist der Bundeskanzler von Deutschland?,מי הוא הקנצלר של גרמניה?,من هو مستشار ألمانيا؟,谁是德国总理？
77,What is the global renewable energy usage percentage?,0,What is the global renewable energy usage percentage?,Какой процент глобального потребления возобновляемой энергии?,Quel est le pourcentage d'utilisation mondiale des énergies renouvelables ?,Wie hoch ist der weltweite Anteil der Nutzung erneuerbarer Energien?,מהו אחוז השימוש באנרגיה מתחדשת ברחבי העולם?,ما هي نسبة استخدام الطاقة المتجددة على مستوى العالم؟,全球可再生能源的使用比例是多少？
78,What is the population of Australia?,0,What is the population of Australia?,Каково население Австралии?,Quelle est la population de l'Australie ?,Wie hoch ist die Bevölkerung Australiens?,מהו מספר האוכלוסייה של אוסטרליה?,ما هو عدد سكان أستراليا؟,澳大利亚的人口是多少？
79,Who is the CEO of Google?,0,Who is the CEO of Google?,Кто является генеральным директором Google?,Qui est le PDG de Google ?,Wer ist der CEO von Google?,"מי המנכ""ל של גוגל?",من هو الرئيس التنفيذي لشركة جوجل؟,谷歌的首席执行官是谁？
80,What is the global forest cover percentage?,0,What is the global forest cover percentage?,Каков процент лесного покрова на планете?,Quel est le pourcentage de couverture forestière mondiale ?,Wie hoch ist der weltweite Prozentsatz der Waldfläche?,מהו אחוז כיסוי היערות העולמי?,ما هي نسبة الغطاء الحرجي العالمي؟,全球森林覆盖率是多少？
81,What is the population of South Korea?,0,What is the population of South Korea?,Население Южной Кореи?,Quelle est la population de la Corée du Sud ?,Wie hoch ist die Bevölkerung Südkoreas?,מהו מספר האוכלוסייה של דרום קוריאה?,ما هو عدد سكان كوريا الجنوبية؟,韩国的人口是多少？
82,Who is the Prime Minister of India?,0,Who is the Prime Minister of India?,Кто является премьер-министром Индии?,Qui est le Premier ministre de l'Inde ?,Wer ist der Premierminister von Indien?,מיהו ראש ממשלת הודו?,من هو رئيس وزراء الهند؟,印度的总理是谁？
83,What is the global smartphone penetration rate?,0,What is the global smartphone penetration rate?,Каков глобальный уровень проникновения смартфонов?,Quel est le taux de pénétration des smartphones dans le monde ?,Wie hoch ist die weltweite Smartphone-Penetrationsrate?,מהו שיעור החדירה הגלובלי של סמארטפונים?,ما هو معدل انتشار الهواتف الذكية عالميًا؟,全球智能手机普及率是多少？
