,is_evergreen,en_Answer,English,French,German,Hebrew,Arabic,Chinese,Russian
12,1,The continents entirely in the Southern Hemisphere are Antarctica and Australia.,Which continent is entirely located in the Southern Hemisphere?,Quel continent est entièrement situé dans l'hémisphère sud ?,Welcher Kontinent liegt vollständig auf der Südhalbkugel?,איזה יבשת נמצאת כולה בחצי הכדור הדרומי?,أي قارة تقع بالكامل في نصف الكرة الجنوبي؟,哪个大陆完全位于南半球？,Какой континент полностью расположен в южном полушарии?
13,1,Mercury thermometers use mercury.,Which metal is used in thermometers to measure temperature?,Quel métal est utilisé dans les thermomètres pour mesurer la température ?,Welches Metall wird in Thermometern zur Temperaturmessung verwendet?,איזה מתכת משמשת במדחומים למדידת טמפרטורה?,أي معدن يُستخدم في موازين الحرارة لقياس درجة الحرارة؟,哪种金属用于温度计来测量温度？,Какой металл используется в термометрах для измерения температуры?
14,1,The capital of Spain is Madrid.,What is the name of the capital of Spain?,Quel est le nom de la capitale de l'Espagne ?,Wie heißt die Hauptstadt von Spanien?,מה שם בירת ספרד?,ما اسم عاصمة إسبانيا؟,西班牙的首都叫什么名字？,Как называется столица Испании?
15,1,Rust forms iron hydroxide.,What chemical compound forms rust?,Quel composé chimique forme la rouille ?,Welche chemische Verbindung bildet Rost?,איזה תרכובת כימית יוצרת חלודה?,ما هو المركب الكيميائي الذي يشكل الصدأ؟,哪种化合物会形成铁锈？,Какое химическое соединение формирует ржавчину?
16,1,The capital of China is Beijing.,What is the name of the capital of China?,Quel est le nom de la capitale de la Chine ?,Wie heißt die Hauptstadt von China?,מה שמה של עיר הבירה של סין?,ما اسم عاصمة الصين؟,中国的首都叫什么名字？,Как называется столица Китая?
17,1,The fastest bird in the world is the peregrine falcon.,Which bird is the fastest in the world?,Quel oiseau est le plus rapide du monde ?,Welcher Vogel ist der schnellste der Welt?,איזה עוף הוא המהיר ביותר בעולם?,ما هو أسرع طائر في العالم؟,世界上最快的鸟是什么？,Какая птица самая быстрая в мире?
18,1,The least populated continent is Antarctica.,Which continent is the least populated?,Quel continent est le moins peuplé ?,Welcher Kontinent ist am wenigsten bevölkert?,איזה יבשת היא הכי פחות מאוכלסת?,أي قارة هي الأقل سكانًا؟,哪个大陆人口最少？,Какой континент самый малонаселённый?
19,1,"Ojos del Salado, the highest volcano on Earth, is located on the border of Chile and Argentina.",What is the name of the largest volcano on Earth?,Quel est le nom du plus grand volcan sur Terre ?,Wie heißt der größte Vulkan der Erde?,מה שמו של הר הגעש הגדול ביותר על פני כדור הארץ?,ما اسم أكبر بركان على وجه الأرض؟,地球上最大的火山叫什么名字？,Как называется крупнейший вулкан на Земле?
20,1,The smallest country in the world by area is the Vatican.,What is the smallest country in the world by area?,Quel est le plus petit pays du monde en superficie ?,Welches ist das flächenmäßig kleinste Land der Welt?,מהי המדינה הקטנה ביותר בעולם לפי שטח?,ما هي أصغر دولة في العالم من حيث المساحة؟,世界上面积最小的国家是哪一个？,Какая самая маленькая страна в мире по площади?
21,0,The heaviest natural element is uranium.,What is the heaviest natural element?,Quel est l'élément naturel le plus lourd ?,Welches ist das schwerste natürliche Element?,מהו היסוד הטבעי הכבד ביותר?,ما هو أثقل عنصر طبيعي؟,最重的天然元素是什么？,Какой самый тяжелый природный элемент?
22,1,The longest mountain range is the Andes.,What is the name of the longest mountain range on Earth?,Quel est le nom de la plus longue chaîne de montagnes sur Terre ?,Wie heißt das längste Gebirge der Erde?,מהו שמה של שרשרת ההרים הארוכה ביותר על פני כדור הארץ?,ما اسم أطول سلسلة جبال على وجه الأرض؟,地球上最长的山脉叫什么名字？,Как называется самый длинный хребет на Земле?
23,1,Venus has the highest temperatures. The average surface temperature is 467 °C.,Which planet of the Solar System has the highest temperatures?,Quelle planète du système solaire a les températures les plus élevées ?,Welcher Planet des Sonnensystems hat die höchsten Temperaturen?,לאיזו כוכב לכת במערכת השמש יש את הטמפרטורות הגבוהות ביותר?,أي كوكب في النظام الشمسي لديه أعلى درجات حرارة؟,太阳系中哪一颗行星的温度最高？,Какая планета Солнечной системы имеет самые высокие температуры?
24,1,The deepest river is the Congo.,What is the deepest river in the world?,Quelle est la rivière la plus profonde du monde ?,Welcher ist der tiefste Fluss der Welt?,מהו הנהר העמוק ביותר בעולם?,ما هو أعمق نهر في العالم؟,世界上最深的河流是什么？,Какая самая глубокая река в мире?
25,1,No continent is washed by all the oceans. The most oceans wash Eurasia - 4.,Which continent is washed by all the oceans?,Quel continent est baigné par tous les océans ?,Welcher Kontinent wird von allen Ozeanen umspült?,איזה יבשת נשטפת על ידי כל האוקיינוסים?,أي قارة تغسلها جميع المحيطات؟,哪个大陆被所有的海洋环绕？,Какой континент омывается всеми океанами?
26,1,The largest body of water by volume is the Caspian Sea.,What is the name of the largest body of water on Earth by volume?,Quel est le nom du plus grand volume d'eau sur Terre ?,Wie heißt das größte Wasservolumen der Erde?,מהו שמו של מאגר המים הגדול ביותר בכדור הארץ לפי נפח?,ما هو اسم أكبر جسم مائي على وجه الأرض من حيث الحجم؟,地球上按体积计算最大的水体叫什么名字？,Как называется крупнейший по объему воды водоем на Земле?
27,0,The largest producer of coffee is Brazil.,Which country is the largest coffee producer in the world?,Quel pays est le plus grand producteur de café au monde ?,Welches Land ist der größte Kaffeeproduzent der Welt?,איזו מדינה היא יצרנית הקפה הגדולה ביותר בעולם?,أي دولة هي أكبر منتج للقهوة في العالم؟,哪个国家是世界上最大的咖啡生产国？,Какая страна является крупнейшим производителем кофе в мире?
28,1,Dissolution is a chemical reaction in which one substance dissolves in another.,What is the name of the chemical reaction in which one substance dissolves in another?,Quel est le nom de la réaction chimique dans laquelle une substance se dissout dans une autre ?,"Wie heißt die chemische Reaktion, bei der sich eine Substanz in einer anderen auflöst?",מהו שם התגובה הכימית שבה חומר אחד מתמוסס בחומר אחר?,ما اسم التفاعل الكيميائي الذي تذوب فيه مادة في مادة أخرى؟,一种物质溶解在另一种物质中的化学反应叫什么名字？,"Как называется химическая реакция, при которой одно вещество растворяется в другом?"
29,1,"The main pollinators of plants are insects: bees, wasps, ants, flies, butterflies, and beetles.",Which animals are the main pollinators of plants?,Quels animaux sont les principaux pollinisateurs des plantes ?,Welche Tiere sind die wichtigsten Bestäuber von Pflanzen?,אילו בעלי חיים הם המאביקים העיקריים של צמחים?,ما هي الحيوانات التي تعتبر الملقحات الرئيسية للنباتات؟,哪些动物是植物的主要传粉者？,Какие животные являются главными опылителями растений?
30,1,The science of animal behavior is called ethology.,What is the name of the science that studies animal behavior?,Quel est le nom de la science qui étudie le comportement des animaux ?,"Wie heißt die Wissenschaft, die das Verhalten von Tieren untersucht?",מה שם המדע שחוקר את התנהגות בעלי החיים?,ما اسم العلم الذي يدرس سلوك الحيوانات؟,研究动物行为的科学叫什么？,Как называется наука о поведении животных?
31,1,"In Italy, gelato ice cream is popular.",Which ice cream is the most popular in Italy?,Quelle glace est la plus populaire en Italie ?,Welches Eis ist in Italien am beliebtesten?,איזה גלידה היא הפופולרית ביותר באיטליה?,ما هي نكهة الآيس كريم الأكثر شعبية في إيطاليا؟,在意大利，哪种冰淇淋最受欢迎？,Какое мороженое наиболее популярно в Италии?
32,1,"Hair dye typically consists of paraphenylenediamine, hydrogen peroxide, and ammonia.",What substance is the basis of hair dye?,Quelle substance est à la base de la teinture pour cheveux ?,Welche Substanz ist die Grundlage von Haarfärbemitteln?,איזה חומר הוא הבסיס לצבעי שיער?,ما هي المادة التي تُعد أساس صبغة الشعر؟,染发剂的主要成分是什么物质？,Какое вещество является основой краски для волос?
33,1,"To manufacture insulated glass units, float glass or tempered glass is used. Also, a frame made of PVC profile is necessary for the insulated glass unit.",What material is used to make window glass?,Quel matériau est utilisé pour fabriquer le verre de fenêtre ?,Welches Material wird zur Herstellung von Fensterglas verwendet?,מאיזה חומר מייצרים זכוכית לחלונות?,ما المادة المستخدمة لصنع زجاج النوافذ؟,窗户玻璃是用什么材料制成的？,Какой материал используется для изготовления оконных стёкол?
34,1,The science of plants is called botany.,What is the name of the science of plants?,Quel est le nom de la science des plantes ?,Wie heißt die Wissenschaft von den Pflanzen?,מהו שמה של מדע הצמחים?,ما اسم علم النباتات؟,植物学的名称是什么？,Как называется наука о растениях?
35,1,"For disinfecting water in swimming pools, stabilized chlorine is most commonly used.",What chemical substance is used to disinfect water in swimming pools?,Quelle substance chimique est utilisée pour désinfecter l'eau des piscines ?,Welche chemische Substanz wird zur Desinfektion des Wassers in Schwimmbecken verwendet?,איזה חומר כימי משמש לחיטוי מים בבריכות שחייה?,ما هي المادة الكيميائية التي تُستخدم لتعقيم مياه أحواض السباحة؟,哪种化学物质用于消毒游泳池的水？,Какое химическое вещество используют для дезинфекции воды в бассейнах?
36,1,"At Japanese tea ceremonies, green tea (matcha) is served.",What drink is traditionally served at Japanese tea ceremonies?,Quelle boisson est traditionnellement servie lors des cérémonies du thé japonaises ?,Welches Getränk wird traditionell bei japanischen Teezeremonien serviert?,איזה משקה מוגש באופן מסורתי בטקסי תה יפניים?,ما هو المشروب الذي يُقدّم تقليديًا في حفلات الشاي اليابانية؟,在日本茶道中传统上会提供什么饮品？,Какой напиток традиционно подают на японских чайных церемониях?
37,1,The largest storms occur on Jupiter.,Which planet in the Solar System is known for its large storms?,Quelle planète du système solaire est connue pour ses grandes tempêtes ?,Welcher Planet im Sonnensystem ist für seine großen Stürme bekannt?,איזה כוכב לכת במערכת השמש ידוע בסופות הגדולות שלו?,أي كوكب في النظام الشمسي معروف بعواصفه الكبيرة؟,太阳系中哪一颗行星以其巨大的风暴而闻名？,Какая планета Солнечной системы известна своими большими штормами?
38,1,Iodine is necessary for thyroid health.,Which trace element is necessary for thyroid health?,Quel oligo-élément est nécessaire à la santé de la thyroïde ?,Welches Spurenelement ist für die Gesundheit der Schilddrüse notwendig?,איזה יסוד קורט חיוני לבריאות בלוטת התריס?,أي عنصر نزر ضروري لصحة الغدة الدرقية؟,哪种微量元素对甲状腺健康是必需的？,Какой микроэлемент необходим для здоровья щитовидной железы?
39,1,This condition is called lactose intolerance or hypolactasia.,What is the condition called when the body cannot break down lactose?,Comment s'appelle la condition où le corps ne peut pas décomposer le lactose ?,"Wie nennt man den Zustand, wenn der Körper Laktose nicht abbauen kann?",איך נקראת התופעה שבה הגוף אינו מסוגל לפרק לקטוז?,ما الحالة التي يُطلق عليها عندما لا يستطيع الجسم تكسير اللاكتوز؟,当身体无法分解乳糖时，这种情况叫什么？,"Как называется состояние, при котором тело не может разложить лактозу?"
40,1,The unit of measurement of electric current is the ampere.,What is the name of the unit for measuring electric current?,Quel est le nom de l'unité de mesure du courant électrique ?,Wie heißt die Einheit zur Messung des elektrischen Stroms?,מהו שם היחידה למדידת זרם חשמלי?,ما اسم وحدة قياس التيار الكهربائي؟,测量电流的单位名称是什么？,Как называется единица измерения силы тока?
41,1,The international currency used in most European countries is called the euro.,What is the name of the international currency used in most European countries?,Quel est le nom de la monnaie internationale utilisée dans la plupart des pays européens ?,"Wie heißt die internationale Währung, die in den meisten europäischen Ländern verwendet wird?",מהו שמה של המטבע הבינלאומית שבה משתמשים ברוב מדינות אירופה?,ما اسم العملة الدولية المستخدمة في معظم الدول الأوروبية؟,大多数欧洲国家使用的国际货币叫什么名字？,"Как называется международная валюта, используемая в большинстве стран Европы?"
42,1,A popular social network for sharing photos is Instagram.,What is the name of the popular social network for sharing photos?,Quel est le nom du réseau social populaire pour partager des photos ?,Wie heißt das beliebte soziale Netzwerk zum Teilen von Fotos?,מהו שמו של הרשת החברתית הפופולרית לשיתוף תמונות?,ما اسم شبكة التواصل الاجتماعي الشهيرة لمشاركة الصور؟,分享照片的流行社交网络叫什么名字？,Как называется популярная социальная сеть для обмена фотографиями?
43,1,"A cuisine rich in rice and seafood is characteristic of Japan, Spain, and Portugal.",Which country is famous for its cuisine based on rice and seafood?,Quel pays est célèbre pour sa cuisine à base de riz et de fruits de mer ?,Welches Land ist berühmt für seine Küche auf Basis von Reis und Meeresfrüchten?,איזו מדינה מפורסמת במטבח שלה שמבוסס על אורז ופירות ים?,أي دولة مشهورة بمأكولاتها التي تعتمد على الأرز والمأكولات البحرية؟,哪个国家以以米饭和海鲜为主的美食而闻名？,"Какая страна славится своей кухней, основанной на рисе и морепродуктах?"
44,1,"The distance between these celestial bodies is constantly changing. Due to the fact that Earth and Mars rotate around the Sun in different trajectories, each of which is elliptical in shape, they are only able to minimize the distance between them every couple of years. The moment of such proximity is called opposition. In 2018, during the great opposition, Earth and Mars reduced the distance to 57.77 million km. At maximum, the two planets can move away from each other by 401 million km.",What is the distance from Earth to Mars?,Quelle est la distance entre la Terre et Mars ?,Wie weit ist die Entfernung von der Erde zum Mars?,מה המרחק מכדור הארץ למאדים?,ما هي المسافة بين الأرض والمريخ؟,地球到火星的距离是多少？,Какое расстояние от Земли до Марса?
45,0,"The Mariner 2 space probe reached Venus in 110 days. Since the distance between Venus and Earth varies, the average flight time to Venus is about 5 months.",How long does it take to fly to Venus?,Combien de temps faut-il pour voler jusqu'à Vénus ?,"Wie lange dauert es, um nach Venus zu fliegen?",כמה זמן לוקח לטוס לנוגה?,كم من الوقت يستغرق الطيران إلى كوكب الزهرة؟,飞往金星需要多长时间？,Сколько лететь до Венеры?
46,0,Various spacecraft have traveled from Earth to Jupiter in 550-650 days.,How long does it take to fly to Jupiter?,Combien de temps faut-il pour aller sur Jupiter en avion ?,"Wie lange dauert es, um nach Jupiter zu fliegen?",כמה זמן לוקח לטוס ליופיטר?,كم من الوقت يستغرق الطيران إلى المشتري؟,飞到木星需要多长时间？,Сколько лететь до Юпитера?
47,0,"The average distance from Earth to Saturn is about 1 billion 430 million kilometers. It took the Cassini mission about 7 years to cover this distance. In the process, the probe used a gravitational maneuver three times - a special way to increase the speed and trajectory of flight under the action of the gravitational fields of celestial bodies.",How long does it take to fly to Saturn?,Combien de temps faut-il pour voler jusqu'à Saturne ?,"Wie lange dauert es, um nach Saturn zu fliegen?",כמה זמן לוקח לטוס לשבתאי?,كم من الوقت يستغرق الطيران إلى زحل؟,飞到土星需要多长时间？,Сколько лететь до Сатурна?
48,0,"It took NASA's Voyager 2 spacecraft almost 9 years to travel from Earth to Uranus, crossing Uranus' orbit on a flyby trajectory and passing within 81,500 km of the planet's surface.",How long does it take to fly to Uranus?,Combien de temps faut-il pour voler jusqu'à Uranus ?,"Wie lange dauert es, um nach Uranus zu fliegen?",כמה זמן לוקח לטוס לאורנוס?,كم من الوقت يستغرق الطيران إلى أورانوس؟,飞往天王星需要多长时间？,Сколько лететь до Урана?
49,0,"As with other planets, it depends on the distance between the planets and their trajectories in orbit. For example, Voyager 2 took 12 years to reach Neptune, while the New Horizons space mission, launched in 2006, covered the distance in 8 years.",How long does it take to fly to Neptune?,Combien de temps faut-il pour aller sur Neptune en avion ?,"Wie lange dauert es, nach Neptun zu fliegen?",כמה זמן לוקח לטוס לנפטון?,كم من الوقت يستغرق الطيران إلى نبتون؟,飞到海王星需要多长时间？,Сколько лететь до Нептуна?
50,1,The distance from Earth to the planet Neptune is about 4.3 billion kilometers.,What is the distance from Earth to Neptune?,Quelle est la distance entre la Terre et Neptune ?,Wie weit ist die Entfernung von der Erde bis zum Neptun?,מה המרחק מכדור הארץ לנפטון?,ما هي المسافة بين الأرض ونبتون؟,地球到海王星的距离是多少？,Какое расстояние от Земли до Нептуна?
51,0,The Mariner 10 space probe reached Mercury in 5 months.,How long does it take to fly to Mercury?,Combien de temps faut-il pour aller sur Mercure en avion ?,"Wie lange dauert es, um nach Merkur zu fliegen?",כמה זמן לוקח לטוס למרקורי?,كم من الوقت يستغرق الطيران إلى عطارد؟,飞到水星需要多长时间？,Сколько лететь до Меркурия?
52,0,"Theoretically, modern technologies make it possible to reach our star in just 3 months. Thus, the Parker space probe, which launched on August 13, 2018, approached the luminary at a distance of 15 million km as early as November 5.",How long does it take to fly to the Sun?,Combien de temps faut-il pour voler jusqu'au Soleil ?,"Wie lange dauert es, zur Sonne zu fliegen?",כמה זמן לוקח לטוס אל השמש?,كم من الوقت يستغرق الطيران إلى الشمس؟,飞到太阳需要多长时间？,Сколько лететь до Солнца?
53,1,"Grass is green because the cells of plants contain chlorophyll. It absorbs light energy of a certain wavelength and reflects green light. That's why to our eyes, grass is green.",Why is the grass green?,Pourquoi l'herbe est-elle verte ?,Warum ist das Gras grün?,למה הדשא ירוק?,لماذا العشب أخضر؟,为什么草是绿色的？,Почему трава зелёная?
54,1,"In youth slang, the word ""tyubik"" means a skinny and unsportsmanlike young man.",Who is Tyubik?,Qui est Tyubik ?,Wer ist Tyubik?,מי זה טיוביק?,من هو تيوبك؟,Tyubik是谁？,Кто такой тюбик?
55,1,"There are two options. Biba and Boba are the heroes of the youth cartoon series ""Detector"". And also Biba and Boba are characters in the American film ""Non-Stop Trouble"".",Who are Biba and Boba?,Qui sont Biba et Boba ?,Wer sind Biba und Boba?,מי הם ביבה ובובה?,من هما بيبا وبوبا؟,Biba 和 Boba 是谁？,Кто такой Биба и Боба?
56,1,"The town of Valday has the Iversky Bogoroditsky Svyatoozersky Male Monastery, the ruins of the Menshikov estate, a bell museum, a national park, and Lake Valday.",What attractions are there in the city of Valday?,Quelles attractions y a-t-il dans la ville de Valdaï ?,Welche Sehenswürdigkeiten gibt es in der Stadt Valday?,אילו אטרקציות יש בעיר ולדאי?,ما هي المعالم السياحية الموجودة في مدينة فالداي؟,瓦尔代市有哪些景点？,Какие достопримечательности есть в городе Валдай?
57,1,"Stress can be beneficial as it helps to react quickly in extreme situations, and also mobilizes the body's internal forces and increases productivity. But it's essential to remember that excessive or prolonged stress is harmful to health.",What are the benefits of stress?,Quels sont les bienfaits du stress ?,Was sind die Vorteile von Stress?,מהם היתרונות של לחץ?,ما هي فوائد التوتر؟,压力有哪些好处？,Чем полезен стресс?
58,1,Daniil Poperechny's height is 185 cm.,How tall is Poperechny?,Quelle est la taille de Poperechny ?,Wie groß ist Poperechny?,מה הגובה של פופרצ'ני?,ما طول بوبيريشني؟,波佩列奇尼有多高？,Какой рост у Поперечного?
59,0,"For forging a signature in a citizen's documents, a person can be fined up to 200,000 rubles. They may also be assigned corrective labor for up to 360 hours or face restriction or deprivation of liberty for up to two years.",What is the sentence for forgery of a signature?,Quelle est la peine pour la falsification d'une signature ?,Was ist die Strafe für die Fälschung einer Unterschrift?,מה העונש על זיוף חתימה?,ما هي العقوبة على تزوير التوقيع؟,伪造签名的刑罚是什么？,Какой срок дают за подделку подписи?
60,1,One liter of gasoline weighs approximately 0.75 kilograms.,How much does one liter of gasoline weigh?,Combien pèse un litre d'essence ?,Wie viel wiegt ein Liter Benzin?,כמה שוקל ליטר אחד של בנזין?,كم يزن لتر واحد من البنزين؟,一升汽油有多重？,Сколько весит один литр бензина?
61,1,"Russia has many ski resorts, such as Arkhyz, Belokurikha in the Altai, Sheregesh, Kirovsk, and the Igora resort in St. Petersburg.",Where can you ski in Russia?,Où peut-on faire du ski en Russie ?,Wo kann man in Russland Ski fahren?,איפה אפשר לעשות סקי ברוסיה?,أين يمكنك التزلج في روسيا؟,在俄罗斯哪里可以滑雪？,Где в России можно покататься на лыжах?
62,1,School No. 80 in the city of Krasnodar was built in 1982.,In what year was the eightieth school of the city of Krasnodar built?,En quelle année la quatre-vingtième école de la ville de Krasnodar a-t-elle été construite ?,In welchem Jahr wurde die achtzigste Schule der Stadt Krasnodar gebaut?,באיזו שנה נבנתה בית הספר השמונים בעיר קרסנודר?,في أي عام تم بناء المدرسة الثمانين في مدينة كراسنودار؟,克拉斯诺达尔市的第八十所学校是在哪一年建成的？,В каком году построена восьмидесятая школа города Краснодара?
63,1,"A kilogram of iron and a kilogram of down feathers weigh the same, but their volume, of course, will be different.",Which is lighter: a kilogram of feathers or a kilogram of iron?,Lequel est plus léger : un kilogramme de plumes ou un kilogramme de fer ?,Was ist leichter: ein Kilogramm Federn oder ein Kilogramm Eisen?,מה קל יותר: קילוגרם נוצות או קילוגרם ברזל?,أيّهما أخف: كيلوغرام من الريش أم كيلوغرام من الحديد؟,哪一个更轻：一公斤羽毛还是一公斤铁？,Что легче: килограмм пуха или килограмм железа?
64,0,"Buses to Kaluga depart from the Moscow bus station ""Salaryevo"". It is located near the metro station of the same name.",From which bus station in Moscow do buses to Kaluga depart?,De quelle gare routière de Moscou partent les bus pour Kalouga ?,Von welchem Busbahnhof in Moskau fahren die Busse nach Kaluga ab?,מאיזו תחנת אוטובוס במוסקבה יוצאים אוטובוסים לקלוגה?,من أي محطة حافلات في موسكو تنطلق الحافلات إلى كالوغا؟,从莫斯科的哪个汽车站有开往卡卢加的巴士？,С какого автовокзала в Москве отправляются автобусы в Калугу?
65,1,"Mount ""Bird's Flight"" is located in the Chuvash Republic, 5 kilometers from the town of Kozlovka. It is one of the highest points from which you can see the Volga, the mouth of the Anish River, several islands, and floodplain meadows. It's a very picturesque place and is worth visiting.",Where is Mount Bird Flight located?,Où se trouve le mont Bird Flight ?,Wo befindet sich der Mount Bird Flight?,היכן נמצא הר בירד פלייט?,أين يقع جبل بيرد فلايت؟,鸟飞山位于哪里？,Где находится гора Птичий полёт?
66,1,"Ginger is very beneficial. It contains vitamins A, B1, B2, B3, C, E, K, as well as magnesium, phosphorus, calcium, iron, zinc, potassium, chromium, manganese, silicon, and other microelements. Ginger helps to strengthen the immune system, cope with colds, and relieves headaches. It is also beneficial for the cardiovascular system, helping to prevent atherosclerosis, arterial hypertension, and ischemic heart disease.",What are the benefits of ginger?,Quels sont les bienfaits du gingembre ?,Was sind die Vorteile von Ingwer?,מהם היתרונות של ג'ינג'ר?,ما هي فوائد الزنجبيل؟,姜有什么好处？,Чем полезен имбирь?
67,1,"According to various sources, Olga Buzova's height is 176-181 cm.",What is Buzova's height?,Quelle est la taille de Buzova ?,Wie groß ist Buzova?,מה הגובה של בוזובה?,ما هو طول بوزوفا؟,布佐娃的身高是多少？,Какой рост у Бузовой?
68,1,"There are many very dangerous animals for humans on Earth. Elephants, crocodiles, snakes, and sharks are dangerous. But the most dangerous one is the mosquito. Mosquitoes are carriers of the most dangerous infections, such as malaria. As a result of a mosquito bite, around 700,000 people die every year.",What is the most dangerous animal?,Quel est l'animal le plus dangereux ?,Was ist das gefährlichste Tier?,מהו בעל החיים המסוכן ביותר?,ما هو أخطر حيوان؟,最危险的动物是什么？,Какое самое опасное животное?
69,1,"To make oil paints, the pigment is ground into bleached linseed oil. Before they can be used, the canvas or other surface is primed. The paint is usually applied with a brush.",How are oil paintings made?,Comment les peintures à l'huile sont-elles réalisées ?,Wie werden Ölgemälde hergestellt?,איך מציירים ציורי שמן?,كيف تُصنع اللوحات الزيتية؟,油画是如何制作的？,Как рисуют картины маслом?
70,0,"The longest musical composition in the world, ""As Slow as Possible"" (""As Slow as Possible""), will last 639 years. The composition was started in 2001 and was written by John Cage. Meanwhile, Jagadish Pillai recorded the longest song in history - ""Shri Ram Charit Manas"" - which lasts 138 hours, 41 minutes, and 20 seconds.",How long is the longest composition?,Quelle est la durée de la composition la plus longue ?,Wie lang ist die längste Komposition?,מהו אורכה של היצירה הארוכה ביותר?,ما هو طول أطول مؤلَّف موسيقي؟,最长的作品有多长？,Сколько длится самая длинная композиция?
71,0,Lionel Messi is the most decorated footballer in history.,Who has more football awards?,Qui a le plus de récompenses de football ?,Wer hat mehr Fußballauszeichnungen?,למי יש יותר פרסי כדורגל?,من لديه المزيد من جوائز كرة القدم؟,谁获得的足球奖项更多？,У кого больше наград по футболу?
